"","County","Waterbody.Name","Station.Name","WBIC","Site.Seq.No","Swims.Station.Id","Fishkill.Inv.Seq.No","Investigation.Start.Date","Season","Season1","Year","Stream.Miles.or.Lake.Acres.Affected","Confidence.Of.Cause.Code","Cause.Category","Cause.Type","Mortality.Code","Detail.Cause.Type","Investigation.Start.Month","Cause.Category.4","Min.Kill.Size","Sunnies","Bluegill","Crappie","Bass","Bullhead","Suckerfish","Trout","Gizzard.Shad","Round.Goby","Cisco","Pike","Snail","Muskies","Walleye","Carp","Sheapshead","Perch","Catfish","Sculpin","Stickleback","Minnow","Bigmouth.Buffalo","Pumpkinseed","Drum","Darter","Dace","Chub","Crayfish","Redhorse","Frogs","Sunfish","Golden.Shiner","Blowfin","Dogfish","Sturgeon","X..Fish.Species.Confirmed","Panfish","Game.Fish"
"1","BARRON","BUTTERNUT LAKE","BUTTERNUT LAKE_GENERAL LAKE STATION",2105800,109402,10000789,431,"05-Jun-2007","Summer","Summer",2007,141,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","SELECTIVE","UNKNOWN INFECTIOUS AGENT","Jun","INFECTIOUS AGENT","Fair Number","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,"UNKNOWN","UNKNOWN"
"2","BARRON","BUTTERNUT LAKE","BUTTERNUT LAKE_GENERAL LAKE STATION",2105800,109402,10000789,1137,"08-May-2008","Summer","Winter",2008,141,"KNOWN","NATURAL","ENVIRONMENTAL CONDITION","SELECTIVE","DISSOLVED OXYGEN","May","WINTERKILL","Large Number","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,"UNKNOWN","UNKNOWN"
"3","BARRON","CRYSTAL LAKE","CRYSTAL LAKE_GENERAL LAKE STATION",2459500,109726,10000794,1398,"20-Mar-2009","Winter","Winter",2009,120,"KNOWN","NATURAL","ENVIRONMENTAL CONDITION","SELECTIVE","DISSOLVED OXYGEN","Mar","WINTERKILL","Large Number","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"UNKNOWN","UNKNOWN"
"4","BARRON","LAKE CHETEK","CHETEK LAKE CHAIN_GENERAL LAKE STATION",2094000,122181,10014942,458,"04-Jun-2007","Summer","Summer",2007,3492,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Fair Number","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,"UNKNOWN","UNKNOWN"
"5","BARRON","LAKE CHETEK","CHETEK LAKE CHAIN_GENERAL LAKE STATION",2094000,122181,10014942,1175,"12-Jun-2008","Summer","Summer",2008,3200,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Fair Number","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,"UNKNOWN","UNKNOWN"
"6","BARRON","LAKE CHETEK","CHETEK LAKE CHAIN_GENERAL LAKE STATION",2094000,122181,10014942,1376,"29-May-2009","Summer","Winter",2009,3700,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","SELECTIVE","COLUMNARIS","May","INFECTIOUS AGENT","Fair Number","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3,"UNKNOWN","UNKNOWN"
"7","BARRON","LAKE CHETEK","CHETEK LAKE CHAIN_GENERAL LAKE STATION",2094000,122181,10014942,1797,"07-Jun-2010","Summer","Summer",2010,770,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Large Number","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"1","UNKNOWN"
"8","BARRON","LAKE DESAIR","LAKE DESAIR_GENERAL LAKE STATION",2104500,111003,10000787,1399,"26-Mar-2009","Winter","Winter",2009,81,"UNKNOWN","NATURAL","ENVIRONMENTAL CONDITION","SELECTIVE","DISSOLVED OXYGEN","Mar","WINTERKILL","Large Number","UNKNOWN","UNKNOWN","UNKNOWN","1","1","1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",3,"1","UNKNOWN"
"9","BARRON","LOWER VERMILLION LAKE","LOWER VERMILLION LAKE_GENERAL LAKE STATION",2098200,111604,10000771,2259,"20-Jun-2011","Summer","Summer",2011,208,"SUSPECTED","NATURAL","INFECTIOUS AGENTS","SELECTIVE","COLUMNARIS","Jun","INFECTIOUS AGENT","Fair Number","UNKNOWN","UNKNOWN","UNKNOWN","1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1,"1","UNKNOWN"
"10","BARRON","MOON LAKE","MOON LAKE_GENERAL LAKE STATION",1867600,111904,10000696,1798,"01-Apr-2010","Summer","Winter",2010,84,"KNOWN","NATURAL","ENVIRONMENTAL CONDITION","SELECTIVE","DISSOLVED OXYGEN","Apr","WINTERKILL","Few","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2,"UNKNOWN","UNKNOWN"
